time,region,number,spatial_ref,T,LOAD,population,height,T.historical.ukesm1_0_ll,T.historical.mpi_esm1_2_lr,T.historical.hadgem3_gc31_ll,T.historical.ipsl_cm6a_lr,T.ssp126.hadgem3_gc31_ll,T.ssp126.mpi_esm1_2_lr,T.ssp126.ipsl_cm6a_lr,T.ssp126.ukesm1_0_ll,T.ssp585.ipsl_cm6a_lr,T.ssp585.ukesm1_0_ll,T.ssp585.hadgem3_gc31_ll,T.ssp585.mpi_esm1_2_lr
1993-01-31,ALL_US,0,0,271.85077,2949497.9542637668,253233070.4393459,1.5,270.82026984284175,272.0506965980154,266.36144386268575,270.42290844820934,,,,,,,,
1993-02-28,ALL_US,0,0,272.2834,2956749.287965595,253481855.3140407,1.5,270.04480146553715,273.1470010967695,270.50418335213465,271.434580358855,,,,,,,,
1993-03-31,ALL_US,0,0,278.35553,2966217.8583273026,253757702.06866172,1.5,273.09438691355183,276.11526966601633,274.30456764964055,275.42151768018124,,,,,,,,
1993-04-30,ALL_US,0,0,283.12994,2976822.086468275,254025057.12068796,1.5,281.2725226674723,281.39665902991595,283.63137350528655,280.2212076248027,,,,,,,,
1993-05-31,ALL_US,0,0,289.328,2989268.920931245,254301744.14025453,1.5,287.3537473379882,288.52043923527395,286.7319501089973,285.6562671193213,,,,,,,,
1993-06-30,ALL_US,0,0,292.86728,3002755.340137955,254569912.35190544,1.5,292.09552805651737,292.18691062921516,293.18645796535986,291.15277556793734,,,,,,,,
1993-07-31,ALL_US,0,0,295.54715,3017052.2782685524,254847211.75112924,1.5,294.42728648121323,295.2809988784291,297.46383957760173,294.5464079569627,,,,,,,,
1993-08-31,ALL_US,0,0,295.35806,3030374.066405834,255124435.46092778,1.5,295.1859434344882,295.4683978151032,296.2552413185717,295.15724344772906,,,,,,,,
1993-09-30,ALL_US,0,0,290.66235,3042334.869564212,255392643.84300926,1.5,290.303616017655,291.0655317711949,292.4111525722851,290.427569568913,,,,,,,,
1993-10-31,ALL_US,0,0,284.77692,3053732.07462091,255669717.4561791,1.5,286.25592510173715,283.10058267686594,284.26627503137513,283.8909835986008,,,,,,,,
1993-11-30,ALL_US,0,0,277.00998,3063830.3780238843,255937780.5834587,1.5,278.3551704358919,276.05137580198357,278.33848527717583,276.7830577075754,,,,,,,,
1993-12-31,ALL_US,0,0,274.1221,3073303.0,256214704.1,1.5,270.2663953464549,273.01386739899414,272.49898370194904,270.72338718809533,,,,,,,,
1994-01-31,ALL_US,0,0,271.36404,3081797.5551646715,256491551.33792672,1.5,268.15818420353514,273.0289529499317,268.01934049819477,267.57981187787504,,,,,,,,
1994-02-28,ALL_US,0,0,272.6606,3088629.3873152253,256741541.34457064,1.5,271.65861375692924,273.53228929572356,274.52403740911967,272.10454536054226,,,,,,,,
1994-03-31,ALL_US,0,0,279.89548,3095262.4604839226,257018243.4070697,1.5,277.8803878109509,278.6656107565306,278.07535161564596,273.83069042992366,,,,,,,,
1994-04-30,ALL_US,0,0,284.67618,3100750.313672703,257285946.969184,1.5,283.0919201335439,283.53699703967965,282.41696788787203,279.09732201936686,,,,,,,,
1994-05-31,ALL_US,0,0,289.3088,3105458.8037608187,257562498.9350545,1.5,287.8414351675679,289.2626223107761,287.60213606030425,287.4506007881106,,,,,,,,
1994-06-30,ALL_US,0,0,295.00665,3109084.157194196,257830057.2423669,1.5,293.24000278528166,293.67137476325564,293.6103851100635,291.50408782012653,,,,,,,,
1994-07-31,ALL_US,0,0,296.56436,3112577.563447851,258106507.52794102,1.5,296.61474155539594,296.4183639666959,296.8949894692854,295.1516579106274,,,,,,,,
1994-08-31,ALL_US,0,0,295.85538,3116658.0406984463,258382988.3401333,1.5,297.6390670569118,296.9506127689541,297.2164276256635,295.2538934971193,,,,,,,,
